1.476	2.655
1.677	2.548
1.659	2.635
1.535	2.349
1.623	2.974
1.83	2.803
1.501	2.31
1.472	2.278
1.314	2.012
1.475	2.274
1.429	2.2
1.491	2.288
1.304	2.281
1.548	2.366
1.658	2.8
1.503	2.301
1.484	2.282
1.656	2.627
1.648	2.615
1.829	2.798
1.655	2.627
1.65	2.621
1.478	2.273
1.642	2.614
1.323	2.293
1.656	2.627
1.491	2.289
1.486	2.456
1.484	2.282
1.471	2.263
1.479	2.268
1.49	2.28
1.49	2.28
1.474	2.262
1.473	2.262
1.751	2.676
1.491	2.289
1.828	2.795
1.491	2.288
1.657	2.976
1.478	2.267
1.123	2.298
1.302	2.267
1.832	2.803
1.491	2.289
