0.043	2.963
0.026	2.787
0.019	2.846
0.068	2.498
0	2.457
0.041	2.683
0.049	2.603
0.041	2.683
0.043	2.651
0.056	2.508
0.047	2.642
0.044	2.651
0	2.512
0	2.501
0	2.542
0.042	2.608
0.025	2.816
0.071	2.464
0.042	2.69
0	2.25
0.041	2.677
0.052	2.601
0	2.308
0	2.272
0.085	2.301
0.04	2.687
0	2.216
0.043	2.641
0	2.646
0	2.501
0	2.604
0.037	2.656
0	2.576
0	2.609
0	2.321
0	2.54
0.078	2.41
0.052	2.625
0.018	2.842
0	2.512
0	2.168
0	2.464
0.048	2.603
0	2.486
0	2.494
