1.872	2.574
1.871	2.552
1.871	2.542
1.875	2.193
1.866	2.537
1.738	2.604
1.736	2.399
2	2.693
2	2.499
1.875	2.193
1.837	1.95
2	2.674
1.775	2.265
1.529	2.515
1.861	2.118
1.228	1.475
1.708	2.271
1.861	2.944
1.253	1.518
1.694	2.36
1.866	2.529
1.656	2.679
1.672	2.353
1.539	2.551
1.655	2.379
1.408	2.423
1.863	2.12
1.236	2.282
1.549	2.25
1.862	2.118
1.59	2.297
1.561	2.253
1.52	2.121
1.764	1.563
1.726	2.256
1.516	2.245
1.569	2.254
1.778	2.039
1.766	2.271
1.866	2.537
1.715	2.143
1.684	2.386
1.773	2.275
1.796	1.744
1.554	2.25
