1.721	1.297
0.269	0.954
0.239	0.974
0.949	0.143
1.091	0.142
0.25	1.032
0.37	0.587
0.771	0.171
0.783	0.164
0.257	0.92
0.416	0.509
0.417	0.532
0.397	0.571
0.45	0.609
0.391	0.651
0.216	0.959
0.299	0.639
0.389	0.567
0.22	1.039
0.457	0.563
0.432	0.594
0.363	0.63
0.275	1.041
0.24	1.043
0.236	1.043
0.284	1.063
0.288	0.991
0.28	1.034
0.233	1.062
0.265	1.092
0.265	0.997
0.265	0.997
0.422	0.569
0.399	0.613
0.363	0.657
0.397	0.602
0.397	0.602
0.234	1.061
0.268	1.071
0.241	1.077
0.415	0.626
0.439	0.605
0.407	0.627
0.276	1.116
0.297	1.049
