1.723	3.839
1.755	3.819
1.806	3.87
1.644	3.792
1.644	3.792
1.567	3.743
1.522	3.763
1.63	3.823
1.692	3.822
1.745	3.827
1.626	3.877
1.474	3.898
1.487	3.876
1.293	3.825
1.293	3.825
1.506	3.901
1.622	3.909
1.694	3.818
1.427	3.862
1.139	3.566
1.219	3.588
1.292	3.825
1.492	3.708
1.682	3.847
1.473	3.893
1.748	3.888
1.479	3.738
1.324	3.842
1.615	3.864
1.698	3.864
1.748	3.835
1.651	3.768
1.483	3.876
1.629	3.844
1.635	3.706
1.75	3.83
1.795	3.912
1.795	3.913
1.511	3.809
1.689	3.849
1.57	3.809
1.555	3.838
1.409	3.882
1.567	3.814
1.567	3.814
